attribute,action_taken,moderator_id,business_id,BizE_link,Admin_link,biz_country,source_type,source_via,time_created,time_acted,time_created_readable,time_acted_readable
AddBusiness,approve,7633,78293616,https://bize.admin.yelp.com/biz/78293616,https://admin.yelp.com/biz_edit/78293616,US,user,main_site,1683568791,1683569331,,
AddBusiness,approve,8754,78293282,https://bize.admin.yelp.com/biz/78293282,https://admin.yelp.com/biz_edit/78293282,US,logged_out_user,biz_site,1683564764,1683569447,,
AddBusiness,approve,22059,78293214,https://bize.admin.yelp.com/biz/78293214,https://admin.yelp.com/biz_edit/78293214,US,logged_out_user,biz_site,1683563787,1683564831,,
AddBusiness,approve,21063,78293154,https://bize.admin.yelp.com/biz/78293154,https://admin.yelp.com/biz_edit/78293154,US,logged_out_user,biz_site,1683563037,1683565603,,
AddBusiness,approve,3258,78293495,https://bize.admin.yelp.com/biz/78293495,https://admin.yelp.com/biz_edit/78293495,US,user,main_site,1683567253,1683567284,,
AddBusiness,approve,8754,78292858,https://bize.admin.yelp.com/biz/78292858,https://admin.yelp.com/biz_edit/78292858,US,logged_out_user,biz_site,1683558379,1683564363,,
AddBusiness,approve,21006,78293783,https://bize.admin.yelp.com/biz/78293783,https://admin.yelp.com/biz_edit/78293783,US,user,main_site,1683570976,1683572109,,
AddBusiness,approve,8754,78292832,https://bize.admin.yelp.com/biz/78292832,https://admin.yelp.com/biz_edit/78292832,US,logged_out_user,biz_site,1683558062,1683559175,,
AddBusiness,reject,9055,78293636,https://bize.admin.yelp.com/biz/78293636,https://admin.yelp.com/biz_edit/78293636,US,logged_out_user,biz_site,1683569206,1683570607,,
AddBusiness,approve,22059,78293001,https://bize.admin.yelp.com/biz/78293001,https://admin.yelp.com/biz_edit/78293001,US,logged_out_user,biz_site,1683560658,1683562810,,
AddBusiness,approve,1515,78293268,https://bize.admin.yelp.com/biz/78293268,https://admin.yelp.com/biz_edit/78293268,US,user,main_site,1683564635,1683564712,,
AddBusiness,approve,1515,78293267,https://bize.admin.yelp.com/biz/78293267,https://admin.yelp.com/biz_edit/78293267,US,user,main_site,1683564633,1683564710,,
AddBusiness,approve,1515,78293266,https://bize.admin.yelp.com/biz/78293266,https://admin.yelp.com/biz_edit/78293266,US,user,main_site,1683564632,1683564708,,
AddBusiness,approve,4548,78293262,https://bize.admin.yelp.com/biz/78293262,https://admin.yelp.com/biz_edit/78293262,US,user,main_site,1683564557,1683564613,,
AddBusiness,approve,3258,78293404,https://bize.admin.yelp.com/biz/78293404,https://admin.yelp.com/biz_edit/78293404,US,user,main_site,1683566341,1683566364,,
